id	wikidata	wiki_person	wiki_geburtsdatum	wiki_todesdatum	wiki_wohnort	wiki_beruf	wiki_url
17101705	checked						
17101712	checked						
17101717	checked						
17101724	checked						
17101729	checked						
17101731	checked						
17101736	checked						
17101743	checked						
17101748	checked						
17101750	checked						
17101755	checked						
17139477	checked						
17139484	checked						
17139491	checked						
17101762	checked						
17101767	checked						
17101774	checked						
17101779	checked						
17101781	checked						
17101786	checked						
17101793	checked						
17101798	checked						
17101801	checked						
17101806	checked						
17101813	checked						
17101818	checked						
17101820	checked						
17101825	checked						
17101832	checked						
17101837	checked						
17101844	checked						
17101849	checked						
17101851	checked						
17101856	checked						
17139472	checked						
17101863	checked						
17101868	checked						
17101870	checked						
17101875	checked						
17101882	checked						
17101887	checked						
17101894	checked						
17139275	checked						
17101899	checked						
17101902	checked						
17101907	checked						
17101914	checked						
17101919	checked						
17101921	checked						
17101926	checked						
17101938	checked						
17101940	checked						
17101945	checked						
17101952	checked						
17101957	checked						
17101964	checked						
17101969	checked						
17101236	checked						
17101243	checked						
17101248	checked						
17101250	checked						
17101255	checked						
17101262	checked						
17101267	checked						
17141706	checked						
17141713	checked						
17101274	checked						
17101279	checked						
17101281	checked						
17101286	checked						
17101293	checked						
17101298	checked						
17101301	checked						
17101306	checked						
17101313	checked						
17101318	checked						
17101320	checked						
17101325	checked						
17149123	checked						
17149130	checked						
17149147	checked						
17149200	checked						
17149217	checked						
17101332	checked						
17101337	checked						
17101344	checked						
17101349	checked						
17101351	checked						
17101356	checked						
17101363	checked						
17101368	checked						
17101370	checked						
17101375	checked						
17101382	checked						
17101387	checked						
17101394	checked						
17101399	checked						
17101402	checked						
17101407	checked						
17142583	checked						
17101414	checked						
17101419	checked						
17101421	checked						
17101426	checked						
17101433	checked						
17136997	checked						
17137008	checked						
17101438	checked						
17101440	checked						
17101445	checked						
17101452	checked						
17101457	checked						
17101464	checked						
17101469	checked						
17101471	checked						
17149368	checked						
17101476	checked						
17101483	checked						
17101488	checked						
17101490	checked						
17101495	checked						
17101503	checked						
17101508	checked						
17101510	checked						
17101515	checked						
17101522	checked						
17101527	checked						
17101534	checked						
17101539	checked						
17101541	checked						
17101546	checked						
17137995	checked						
17101553	checked						
17101558	checked						
17101560	checked						
17101565	checked						
17101572	checked						
17101577	checked						
17101584	checked						
17101589	checked						
17107804	checked						
17107809	checked						
17107811	checked						
17107816	checked						
17107823	checked						
17107828	checked						
17107830	checked						
17107835	checked						
17107842	checked						
17107847	checked						
17107854	checked						
